==PROF== Connected to process 22016 (\\wsl.localhost\Ubuntu\home\ethan\bare-metal-bard\bench\train_gpt.exe)
data      1003855 train / 111539 val tokens, vocab 65 (padded 128)
model     6 layers, 6 heads, 384 embd, ctx 256, fused attention
matmul    TF32 tensor cores
params    10.80M (41.2 MB; +41.2 MB grads, +82.4 MB adam state)
memory    593.0 MB forward activations, 98.1 MB backward scratch
total     0.84 GB resident (params+grads+adam+activations+scratch)
step     1/4  loss 4.2625  lr 1.00e-05  |g| 15.666  1759.4 ms     2328 tok/s    167 GFLOP/s
best   val loss 1000000015047466219876688855040.0000 at step 0 (checkpoint saved there)
==PROF== Disconnected from process 22016
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"19","22016","train_gpt.exe","127.0.0.1","<unnamed>::layernorm_fwd_k(float *, float *, float *, const float *, const float *, const float *, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","32,960"
"20","22016","train_gpt.exe","127.0.0.1","void <unnamed>::gemm_mma<0, 1, 128, 128, 32, 32, 64, 256, 2, 5>(int, int, int, float, const float *, const float *, float, float *, GemmEpilogue, int, int)","1","7","(256, 1, 1)","(12, 32, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","404,064"
"21","22016","train_gpt.exe","127.0.0.1","void <unnamed>::gemm_mma<0, 1, 128, 128, 32, 32, 64, 256, 2, 3>(int, int, int, float, const float *, const float *, float, float *, GemmEpilogue, int, int)","1","7","(256, 1, 1)","(3, 32, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","539,616"
"22","22016","train_gpt.exe","127.0.0.1","<unnamed>::layernorm_fwd_k(float *, float *, float *, const float *, const float *, const float *, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","32,992"
"23","22016","train_gpt.exe","127.0.0.1","void <unnamed>::gemm_mma<0, 1, 128, 128, 32, 32, 64, 256, 2, 1>(int, int, int, float, const float *, const float *, float, float *, GemmEpilogue, int, int)","1","7","(256, 1, 1)","(9, 32, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","296,064"
"24","22016","train_gpt.exe","127.0.0.1","void <unnamed>::flash_fwd_k<64, 32, 64, 128, 4, 4>(float *, float *, const float *, int, int, float)","1","7","(128, 1, 1)","(4, 96, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","237,376"
"25","22016","train_gpt.exe","127.0.0.1","void <unnamed>::gemm_mma<0, 1, 128, 128, 32, 32, 64, 256, 2, 3>(int, int, int, float, const float *, const float *, float, float *, GemmEpilogue, int, int)","1","7","(256, 1, 1)","(3, 32, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","152,448"
"26","22016","train_gpt.exe","127.0.0.1","<unnamed>::layernorm_fwd_k(float *, float *, float *, const float *, const float *, const float *, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","33,056"
"27","22016","train_gpt.exe","127.0.0.1","void <unnamed>::gemm_mma<0, 1, 128, 128, 32, 32, 64, 256, 2, 5>(int, int, int, float, const float *, const float *, float, float *, GemmEpilogue, int, int)","1","7","(256, 1, 1)","(12, 32, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","405,856"
"28","22016","train_gpt.exe","127.0.0.1","void <unnamed>::gemm_mma<0, 1, 128, 128, 32, 32, 64, 256, 2, 3>(int, int, int, float, const float *, const float *, float, float *, GemmEpilogue, int, int)","1","7","(256, 1, 1)","(3, 32, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","531,648"
